,hh_income,hh_lifeCycle,occupation_type,age,motif_R,motif_RAAR,motif_RAOAR,motif_RAOR,motif_RAR,motif_ROAOR,motif_ROAR,motif_ROOR,motif_ROR,office_block,residential_block,amenity_block
0,11,10,1,21,0,0,0,0,1,0,0,0,0,2,19,9.0
1,7,2,2,62,0,0,0,0,0,0,0,0,1,2,5,
2,11,2,3,59,0,0,0,0,0,0,0,0,1,2,1,
3,6,2,4,73,0,0,0,1,0,0,0,0,0,2,1,7.0
4,6,8,5,16,0,0,0,0,1,0,0,0,0,2,13,3.0
5,6,2,1,57,0,0,0,0,0,0,0,0,1,3,13,
6,7,7,1,21,0,0,0,0,0,0,0,0,1,3,19,
7,2,4,1,43,0,0,0,0,0,0,0,0,1,3,1,
8,11,2,1,52,0,0,0,0,0,0,0,0,1,3,19,
9,8,1,1,43,0,0,0,1,0,0,0,0,0,3,15,7.0
10,6,4,1,40,0,0,0,0,1,0,0,0,0,3,1,13.0
11,6,10,1,57,0,1,0,0,0,0,0,0,0,3,1,13.0
12,3,10,1,27,0,0,0,0,0,0,1,0,0,3,5,11.0
13,5,6,1,42,0,0,0,0,0,0,1,0,0,3,14,11.0
14,5,2,1,66,0,1,0,0,0,0,0,0,0,3,1,11.0
15,5,6,1,42,0,0,0,0,0,0,1,0,0,3,1,9.0
16,3,5,1,51,0,0,0,0,0,0,1,0,0,3,19,11.0
17,10,2,1,53,0,1,0,0,0,0,0,0,0,3,1,7.0
18,11,4,1,44,0,0,0,0,0,0,0,0,1,3,1,
19,7,10,1,45,0,1,0,0,0,0,0,0,0,3,1,3.0
20,4,2,1,28,0,0,0,0,0,0,0,0,1,3,5,
21,4,1,1,39,0,0,0,0,0,0,1,0,0,3,15,11.0
22,11,10,1,48,0,0,0,1,0,0,0,0,0,3,1,21.0
23,11,2,1,32,0,0,0,0,0,1,0,0,0,3,19,11.0
24,5,1,1,64,0,0,1,0,0,0,0,0,0,3,15,9.0
25,1,8,1,24,0,0,0,0,0,0,0,0,1,3,1,
26,4,6,1,18,0,0,0,0,0,0,0,0,1,3,15,
27,1,2,1,56,0,0,0,0,0,0,1,0,0,3,15,7.0
28,8,6,1,51,0,1,0,0,0,0,0,0,0,3,15,7.0
29,8,6,1,43,0,1,0,0,0,0,0,0,0,3,13,21.0
30,7,7,1,21,0,0,0,0,0,0,0,0,1,3,15,
31,4,2,1,56,0,0,0,0,0,0,0,0,1,3,15,
32,4,1,1,50,0,1,0,0,0,0,0,0,0,3,19,13.0
33,7,6,1,50,0,0,0,1,0,0,0,0,0,3,13,9.0
34,3,1,1,56,0,0,0,1,0,0,0,0,0,3,15,11.0
35,7,1,2,65,0,0,0,0,0,0,1,0,0,3,13,21.0
36,7,10,2,63,0,0,1,0,0,0,0,0,0,3,1,7.0
37,6,1,2,60,0,0,0,0,0,0,1,0,0,3,19,11.0
38,6,1,2,62,0,0,0,0,0,0,1,0,0,3,15,9.0
39,3,1,2,54,0,1,0,0,0,0,0,0,0,3,19,7.0
40,11,6,2,44,0,0,0,0,0,0,1,0,0,3,13,21.0
41,5,10,2,33,0,0,0,0,0,0,1,0,0,3,13,21.0
42,8,1,2,50,0,0,1,0,0,0,0,0,0,3,1,11.0
43,9,2,2,59,0,0,0,0,0,0,0,0,1,3,19,
44,9,6,2,27,0,0,0,0,0,0,0,0,1,3,19,
45,5,1,2,61,0,0,0,0,0,0,0,0,1,3,13,
46,7,6,2,22,0,0,0,0,0,0,0,1,0,3,1,
47,7,4,2,41,0,0,0,0,0,0,0,0,1,3,19,
48,5,5,2,56,0,0,0,0,1,0,0,0,0,3,15,9.0
49,10,6,2,49,0,0,0,1,0,0,0,0,0,3,15,7.0
50,6,1,2,92,0,0,0,0,0,0,1,0,0,3,15,11.0
51,7,4,2,28,0,0,0,1,0,0,0,0,0,3,1,20.0
52,7,1,2,65,0,0,0,0,0,0,1,0,0,3,19,7.0
53,5,6,2,20,0,0,0,0,0,0,1,0,0,3,1,9.0
54,5,6,2,20,0,0,0,0,0,0,1,0,0,3,15,19.0
55,5,10,2,33,0,0,0,0,0,0,0,0,1,3,15,
56,8,8,2,45,0,0,0,0,0,0,1,0,0,3,15,11.0
57,8,10,2,63,0,0,0,0,0,0,1,0,0,3,5,7.0
58,5,2,2,43,0,0,0,0,0,0,1,0,0,3,19,11.0
59,7,2,2,24,0,0,0,0,0,0,0,0,1,3,1,
60,7,1,2,67,0,0,0,0,0,0,0,0,1,3,1,
61,6,10,2,60,0,0,0,0,0,0,0,0,1,3,5,
62,7,2,2,49,0,0,0,0,1,0,0,0,0,3,15,11.0
63,10,2,2,58,0,0,0,0,0,0,0,0,1,3,1,
64,5,7,2,57,0,0,0,0,0,0,1,0,0,3,15,9.0
65,10,2,3,37,0,0,1,0,0,0,0,0,0,3,14,9.0
66,5,6,3,60,0,0,0,0,0,0,0,0,1,3,15,
67,6,2,3,63,0,0,0,0,0,0,0,0,1,3,13,
68,6,8,3,69,0,0,0,0,1,0,0,0,0,3,1,9.0
69,4,2,3,62,0,1,0,0,0,0,0,0,0,3,15,19.0
70,6,2,3,58,0,0,0,0,0,0,0,0,1,3,13,
71,8,8,3,27,0,1,0,0,0,0,0,0,0,3,15,7.0
72,3,2,3,48,0,0,0,0,0,0,1,0,0,3,1,9.0
73,8,2,3,59,0,0,0,0,0,0,0,0,1,3,1,
